Pressione, Can A in funzione di Posizione, Can 1 e 2, Raccolta #3
Posizione, Can 1 e 2 ( m )	Pressione, Can A ( kPa )
-8,125000E-4	0,786
-8,125000E-4	0,781
-8,125000E-4	0,781
-8,125000E-4	0,781
-8,125000E-4	0,781
-8,125000E-4	0,781
-8,125000E-4	0,776
-8,125000E-4	0,776
-8,125000E-4	0,776
-8,125000E-4	0,776
-8,125000E-4	0,776
-8,125000E-4	0,776
-8,125000E-4	0,776
-8,125000E-4	0,771
-8,125000E-4	0,776
-8,125000E-4	0,771
-8,125000E-4	0,771
-8,125000E-4	0,771
-8,125000E-4	0,766
-8,125000E-4	0,766
-8,125000E-4	0,766
-8,125000E-4	0,766
-8,125000E-4	0,771
-8,125000E-4	0,766
-8,125000E-4	0,766
-8,125000E-4	0,766
-8,125000E-4	0,766
-8,125000E-4	0,766
-8,125000E-4	0,766
-8,125000E-4	0,761
-8,125000E-4	0,761
-8,125000E-4	0,761
-8,125000E-4	0,761
-8,125000E-4	0,761
-8,125000E-4	0,756
-8,125000E-4	0,756
-8,125000E-4	0,756
-8,125000E-4	0,756
-8,125000E-4	0,756
-8,125000E-4	0,756
-8,125000E-4	0,756
-8,125000E-4	0,756
-8,125000E-4	0,756
-8,125000E-4	0,756
-8,125000E-4	0,751
-8,125000E-4	0,756
-8,125000E-4	0,751
-8,125000E-4	0,756
-8,125000E-4	0,751
-8,125000E-4	0,746
-8,125000E-4	0,751
-8,125000E-4	0,746
-8,125000E-4	0,751
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,742
-8,125000E-4	0,742
-8,125000E-4	0,746
-8,125000E-4	0,742
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,742
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,746
-8,125000E-4	0,742
-8,125000E-4	0,742
-8,125000E-4	0,742
-8,125000E-4	0,742
-8,125000E-4	0,742
-8,125000E-4	0,746
-8,125000E-4	0,742
-8,125000E-4	0,746
-8,125000E-4	0,742
-8,125000E-4	0,742
-8,125000E-4	0,737
-8,125000E-4	0,742
-8,125000E-4	0,737
-8,125000E-4	0,742
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,742
-8,125000E-4	0,737
-8,125000E-4	0,742
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,732
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,732
-8,125000E-4	0,737
-8,125000E-4	0,732
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,732
-8,125000E-4	0,737
-8,125000E-4	0,732
-8,125000E-4	0,737
-8,125000E-4	0,732
-8,125000E-4	0,737
-8,125000E-4	0,732
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,737
-8,125000E-4	0,732
-8,125000E-4	0,737
-8,125000E-4	0,732
-8,125000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,732
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,737
-8,750000E-4	0,742
